Linea,Criadero,Status,Origen,Año,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1,Vrn-A1,Vrn-B1,Vrn-D1,Ppd-B1,Ppd-D1,Lr 34
T00240,INTA Parana,Linea,Regional I,2012,NO,NO,nulo, 7oe+8, 5+10,s,s,w,s,s,+
T00241,INTA Parana,Linea,Regional I,2012,NO,NO,nulo, 6+8, 5+10,w,w,w,s,i,-
T00242,INTA Parana,Linea,Regional I,2012,NO,NO,nulo, 6+8, 5+10,w,w,w,s,i,-
V00931,INTA Bordenave,Linea,Regional I,2012,NO,NO,2*, 7oe+8, 2+12,s,s,s,s,s,+
V00933,INTA Bordenave,Linea,Regional I,2012,NO,NO,2*, 7+9, 2+12,s,s,w,s,s,+
V00935,INTA Bordenave,Linea,Regional I,2012,NO,NO,2*, 7+8, 5+10,s,w,w,s,s,+
V00937,INTA Bordenave,Linea,Regional I,2012,NO,NO,1, 7oe+8, 5+10,w,s,s,s,s,+
V00938,INTA Bordenave,Linea,Regional I,2012,NO,NO,1/2*, 7+9, 5+10,s,s,w,i,s,+
V00939,INTA Bordenave,Linea,Regional I,2012,NO,NO,1, 7+9, 5+10,w,s,s,s,s,+
W08017,INTA Barrow,Linea,Regional I,2012,NO,NO,1, 7oe+8, 5+10,w,s,w,i,s,-
W10024,INTA Barrow,Linea,Regional I,2012,NO,NO,2*/nulo, 7+9, 2+12,s,s,s,s,s,-
W10032,INTA Barrow,Linea,Regional I,2012,NO,NO,1, 7oe+8/13+16, 5+10,w,s,s,s,s,-
W10044,INTA Barrow,Linea,Regional I,2012,NO,NO,1, 17+18, 5+10,s,w,w,i,s,-
W10048,INTA Barrow,Linea,Regional I,2012,NO,NO,2*, 7oe+8, 5+10,w,w,w,i,s,+
B14207,INTA Balcarce,Linea,Regional II,2012,NO,NO,2*, 6+8, 5+10,w,s,s,s,i,-
B16008,INTA Balcarce,Linea,Regional II,2012,NO,NO,2*/nulo, 6+8, 2+12,w,s,w,s,i,-
B16908,INTA Balcarce,Linea,Regional II,2012,NO,NO,2*, 7oe+8, 5+10,w,s,w,s,s,-
B17108,INTA Balcarce,Linea,Regional II,2012,NO,NO,1, 7+9, 5+10,w,s,s,s,i,-
B23708,INTA Balcarce,Linea,Regional II,2012,NO,SI,2*/nulo, 7oe+8, 2+12,s*,s,w,s,i,-
J10011,INTA Marcos Juarez,Linea,Regional II,2012,NO,NO,1, 7+8, 2+12,w,s,s,i,s,-
J11012,INTA Marcos Juarez,Linea,Regional II,2012,NO,NO,1, 13+16/17+18, 5+10,w,s,s,s,i,-
J11013,INTA Marcos Juarez,Linea,Regional II,2012,NO,NO,2*, 17+18, 5+10,w,s,s,s,i,-
J12007,INTA Marcos Juarez,Linea,Regional II,2012,NO,SI,1,7+9, 5+10,w,s,w,s,i,-
J12008,INTA Marcos Juarez,Linea,Regional II,2012,NO,NO,1, 7oe+8, 5+10,w,s,s,s,i,+
JN11014,INTA Saenz Peña,Linea,Regional II,2012,NO,NO,2*/nulo, 17+18, 2+12,w,s,w,s,i,-
JN11016,INTA Saenz Peña,Linea,Regional II,2012,NO,NO,1, 7+8, 2+12,w,s,w,i,s,-
JN11017,INTA Saenz Peña,Linea,Regional II,2012,NO,SI,1, 7+9, 5+10,s,w,s,s,i,-
JN12009,INTA Saenz Peña,Linea,Regional II,2012,NO,SI?,1, 7+9, 5+10,w,w,w,s,i,-
JN12010,INTA Saenz Peña,Linea,Regional II,2012,NO,NO,2*, 7+9, 5+10,w,w,s,s,i,-
JN12011,INTA Saenz Peña,Linea,Regional II,2012,NO,NO,nulo, 7+8/13+16, 5+10,s*,s,w,i,H,-
P05565,INTA Pergamino,Linea,Regional II,2012,NO,NO,1, 7oe+8, 2+12,w,s,s,s,i,-
P05589,INTA Pergamino,Linea,Regional II,2012,NO,NO,2*, 7+9, 5+10,w,s,s,i,i,-
P05652,INTA Pergamino,Linea,Regional II,2012,NO,NO,1, 7+9, 5+10,w,s,s,s,s,-
P05711,INTA Pergamino,Linea,Regional II,2012,NO,NO,2*, 7+9, 5+10,w,s,s,s,i,-
P05723,INTA Pergamino,Linea,Regional II,2012,NO,NO,1, 7+9, 2+12,w,s,w,s,i,+
P05835,INTA Pergamino,Linea,Regional II,2012,NO,NO,1, 17+18, 5+10,w,w,s,s,i,-
T00243,INTA Parana,Linea,Regional II,2012,NO,NO,nulo, 6+8, 5+10,w,w,s,s,i,-
T00244,INTA Parana,Linea,Regional II,2012,NO,NO,2*, 7oe+8, 5+10,s,s,s,i,s,-
T00245,INTA Parana,Linea,Regional II,2012,NO,NO,1, 7oe+8, 5+10,s,w,s,i,s,-
T00246,INTA Parana,Linea,Regional II,2012,NO,NO,1, 7oe+8, 5+10,s,w,s,i,s,-
T00247,INTA Parana,Linea,Regional II,2012,NO,NO,2*, 7+9, 5+10,w,w,w,s,i,-
V00940,INTA Bordenave,Linea,Regional II,2012,NO,NO,1, 7oe+8, 5+10,s*,s,w,s,i,-
V00941,INTA Bordenave,Linea,Regional II,2012,NO,NO,1, 7oe+8, 5+10,s*,w,w,s,i,-
V00942,INTA Bordenave,Linea,Regional II,2012,NO,NO,2*, 7+9/17+18, 5+10,w,s,w,s,s,-
V00943,INTA Bordenave,Linea,Regional II,2012,NO,NO,1, 7oe+8, 5+10,s,w,s,s,s,-
V00944,INTA Bordenave,Linea,Regional II,2012,NO,NO,2*, 7oe+8, 5+10,s,s,w,s,s,-
W07004,INTA Barrow,Linea,Regional II,2012,NO,NO,1, 7+9/17+18, 5+10,w,s,w,i,s,-
W08033,INTA Barrow,Linea,Regional II,2012,NO,NO,nulo, 7+8, 5+10,s,s,s,s,i,-
W10001,INTA Barrow,Linea,Regional II,2012,NO,NO,2*, 7oe+8, 5+10,w,s,s,s,s,-
W10020,INTA Barrow,Linea,Regional II,2012,NO,NO,1/2*, 7+8, 5+10,s*,s,s,i,s,-
W10030,INTA Barrow,Linea,Regional II,2012,NO,NO,1/2*, 7+9/7+8, 5+10,s,s,w,s,i,-
W10036,INTA Barrow,Linea,Regional II,2012,NO,NO,2*, 7+8, 5+10,s,s,s,s,s,-
B02053,INTA Balcarce,Linea,Regional III,2012,NO,NO,2*, 7+9, 5+10,w,s,s,s,i,-
B02057,INTA Balcarce,Linea,Regional III,2012,NO,NO,1, 7+9, 5+10,w,s,s,i,i,-
B02058,INTA Balcarce,Linea,Regional III,2012,NO,NO,1, 7+9, 5+10,w,s,s,i,i,-
B15908,INTA Balcarce,Linea,Regional III,2012,NO,NO,2*/nulo, 6+8, 2+12,w,s,w,s,i,-
B28109,INTA Balcarce,Linea,Regional III,2012,NO,NO,2*, 7+9, 5+10,w,s,s,s,s,-
J10015,INTA Marcos Juarez,Linea,Regional III,2012,NO,SI,2*, 7+9, 5+10,w,s,s,s,i,-
J11022,INTA Marcos Juarez,Linea,Regional III,2012,NO,NO,2*/nulo, 17+18, 2+12,w,s,s,s,i,+
J11023,INTA Marcos Juarez,Linea,Regional III,2012,SI,NO,2*,7, 5+10,w,s,s,s,i,-
J12012,INTA Marcos Juarez,Linea,Regional III,2012,NO,NO,nulo, 13+16, 5+10,s/w,w,w,s,i,-
J12013,INTA Marcos Juarez,Linea,Regional III,2012,NO,NO,2*, 7+9, 5+10,w,s,s,i,s,H
J12014,INTA Marcos Juarez,Linea,Regional III,2012,NO,NO,2*, 7+9, 5+10,w,s,s,s,i,-
JN11024,INTA Saenz Peña,Linea,Regional III,2012,NO,NO,1, 7+9, 5+10,w,s,s,s,i,-
JN12015,INTA Saenz Peña,Linea,Regional III,2012,NO,NO,nulo, 13+16, 5+10,w,w,w,s,i,-
JN12016,INTA Saenz Peña,Linea,Regional III,2012,NO,NO,2*, 7+9, 5+10,w,s,s,s,i,-
JN12017,INTA Saenz Peña,Linea,Regional III,2012,NO,NO,2*, 7+9, 5+10,w,s,s,i,i,-
JN12018,INTA Saenz Peña,Linea,Regional III,2012,NO,NO,2*, 7+9, 5+10,w,s,s,i,s,-
P05757,INTA Pergamino,Linea,Regional III,2012,NO,NO,2*, 7+9, 5+10,w,s,s,i,i,-
P05791,INTA Pergamino,Linea,Regional III,2012,NO,NO,1/2*, 17+18, 5+10,w,s,s,s,i,-
P05794,INTA Pergamino,Linea,Regional III,2012,NO,NO,2*, 7+9, 5+10,w,s,s,i,i,-
P05817,INTA Pergamino,Linea,Regional III,2012,NO,NO,1, 7+9, 5+10,w,s,s,i,i,-
P05839,INTA Pergamino,Linea,Regional III,2012,NO,NO,2*, 7+9, 5+10,w,s,s,s,i,-
T00226,INTA Parana,Linea,Regional III,2012,NO,NO,1, 7+9, 5+10,w,w,s,s,i,-
T00248,INTA Parana,Linea,Regional III,2012,NO,NO,nulo, 13+16, 5+10,w,w,s,i,i,-
T00249,INTA Parana,Linea,Regional III,2012,NO,NO,1, 7+9, 5+10,s*,s,s,s,i,-
T00250,INTA Parana,Linea,Regional III,2012,NO,NO,2*/nulo, 7+9, 2+12,w,s,s,s,i,-
T00251,INTA Parana,Linea,Regional III,2012,NO,NO,1, 7+9, 5+10,w,w,s,s,i,-
T00252,INTA Parana,Linea,Regional III,2012,NO,NO,1, 14+15?, 5+10,w,s,s,s,i,-
T00253,INTA Parana,Linea,Regional III,2012,NO,SI?,2*, 7+9, 5+10,w,s,s,s,i,H
W09006,INTA Barrow,Linea,Regional III,2012,NO,NO,2*, 7+8, 5+10,w,s,w,s,s,-
W10011,INTA Barrow,Linea,Regional III,2012,NO,NO,1/2*, 17+18, 5+10,w,s,w,s,s,-
W10034,INTA Barrow,Linea,Regional III,2012,NO,NO,2*, 7oe+8, 5+10,w,w,s,s,i,-
,,,,,,,,,,,,,                        ,,
